,Country,Mean BMI,Obesity (%),Population_2016,Continent
127,Sierra Leone,21.9114498,8.7,7205328,Africa
128,Singapore,24.4019799,6.1,5607283,Asia
129,Slovenia,26.78385887,20.2,2065042,Europe
130,Solomon Islands,25.81026423,22.5,662379,Oceania
131,South Africa,25.10522536,28.3,57259551,Africa
132,Spain,27.162678,23.8,46458139,Europe
133,Sri Lanka,22.6383471,5.2,21209000,Asia
134,Sudan,23.29135867,No data,41259892,Africa
135,Suriname,25.49760616,26.4,587757,South America
136,Sweden,26.86405077,20.6,9923085,Europe
137,Switzerland,26.8336985,19.5,8373338,Europe
138,Tajikistan,26.00734586,14.2,8865631,Asia
139,Thailand,24.00077018,10,70859841,Asia
140,Togo,22.58918749,8.4,7858289,Africa
141,Tonga,30.72340166,48.2,105524,Oceania
142,Trinidad and Tobago,26.77531848,18.6,1353895,North America
143,Tunisia,25.72641503,26.9,11528674,Africa
144,Turkmenistan,26.68355896,18.6,6360041,Asia
145,Tuvalu,30.23321051,51.6,10930,Oceania
146,Uganda,21.61129409,5.3,38799152,Africa
147,Ukraine,27.08648953,24.1,45616832,Europe
148,United Arab Emirates,28.18800439,31.7,8935095,Asia
149,Uruguay,27.52969676,27.9,3379283,South America
150,Uzbekistan,26.48810362,16.6,31284568,Asia
151,Vanuatu,25.71103043,25.2,272087,Oceania
152,Zambia,21.44802712,8.1,16914423,Africa
153,Zimbabwe,22.30135343,15.5,14600294,Africa
