,Country,Mean BMI,Obesity (%),Population,Continent
127,Sierra Leone,23.58342185,8.7,7205328,Africa
128,Singapore,23.14285847,6.1,5607283,Asia
129,Slovenia,26.73878467,20.2,2065042,Europe
130,Solomon Islands,27.07650928,22.5,662379,Oceania
131,South Africa,29.59192125,28.3,57259551,Africa
132,Spain,24.92999859,23.8,46458139,Europe
133,Sri Lanka,23.83638768,5.2,21209000,Asia
134,Sudan,26.12280796,No data,41259892,Africa
135,Suriname,27.91742678,26.4,587757,South America
136,Sweden,25.45995973,20.6,9923085,Europe
137,Switzerland,23.81875224,19.5,8373338,Europe
138,Tajikistan,26.49672721,14.2,8865631,Asia
139,Thailand,25.11073257,10,70859841,Asia
140,Togo,24.64166822,8.4,7858289,Africa
141,Tonga,34.00861159,48.2,105524,Oceania
142,Trinidad and Tobago,28.88155719,18.6,1353895,North America
143,Tunisia,27.30753368,26.9,11528674,Africa
144,Turkmenistan,26.80303559,18.6,6360041,Asia
145,Tuvalu,31.87132991,51.6,10930,Oceania
146,Uganda,23.34475139,5.3,38799152,Africa
147,Ukraine,26.40652804,24.1,45616832,Europe
148,United Arab Emirates,29.63816231,31.7,8935095,Asia
149,Uruguay,27.55825768,27.9,3379283,South America
150,Uzbekistan,27.6582837,16.6,31284568,Asia
151,Vanuatu,26.96518981,25.2,272087,Oceania
152,Zambia,23.83398161,8.1,16914423,Africa
153,Zimbabwe,25.43148733,15.5,14600294,Africa
