Ukraine,45616832
Upper middle income,2709558794
Uruguay,3379283
United States,324353340
Uzbekistan,31284568
St. Vincent and the Grenadines,106349
"Venezuela, RB",30765720
British Virgin Islands,33878
Virgin Islands (U.S.),107516
Viet Nam,94000117
Vanuatu,272087
World,7529066617
Samoa,203499
Kosovo,1777568
"Yemen, Rep.",32109010
South Africa,57259551
Zambia,16914423
Zimbabwe,14600294
